Category,Staff code,Date
Infraction,CMLK,15/09/2016
Infraction,CMLK,15/09/2016
Infraction,CMLK,15/09/2016
Co-Curricular EXC Motivated,KNC,15/09/2016
Infraction,YDU,15/09/2016
Infraction,YDU,15/09/2016
Infraction,YDU,15/09/2016
Academic EXC Determined,ARE,15/09/2016
Academic EXC Motivated,ARE,15/09/2016
Co-Curricular EXC Open-minded,NT,15/09/2016
Incomplete Work,CMLK,15/09/2016
Incomplete Work,CMLK,15/09/2016
Incomplete Work,CMLK,15/09/2016
Incomplete Work,CMLK,15/09/2016
Incomplete Work,CMLK,15/09/2016
Incomplete Work,CMLK,15/09/2016
Academic EXC Independent,CMLK,15/09/2016
Academic EXC Independent,CMLK,15/09/2016
Academic EXC Determined,ERM,15/09/2016
Academic EXC Determined,ERM,15/09/2016
Academic EXC Determined,ERM,15/09/2016
Academic EXC Creative,DJB,15/09/2016
Academic EXC Creative,DJB,15/09/2016
Academic EXC Creative,DJB,15/09/2016
Academic EXC Creative,DJB,15/09/2016
Incomplete Work,ERM,15/09/2016
Incomplete Work,ERM,15/09/2016
Incomplete Work,ERM,15/09/2016
Academic EXC Determined,SP,15/09/2016
Academic EXC Determined,SP,15/09/2016
Academic EXC Determined,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Random Act of Kindness - Good College Spirit EXC,AH,15/09/2016
Academic EXC Motivated,JKC,15/09/2016
Academic EXC Motivated,JKC,15/09/2016
Academic EXC Motivated,JKC,15/09/2016
Academic EXC Motivated,JKC,15/09/2016
Academic EXC Motivated,JKC,15/09/2016
Academic EXC Reflective,JKC,15/09/2016
Incomplete Work,TW,15/09/2016
Incomplete Work,TW,15/09/2016
Incomplete Work,TW,15/09/2016
Incomplete Work,TW,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Co-Curricular EXC Determined,MJM,15/09/2016
Academic EXC Motivated,YDU,15/09/2016
Random Act of Kindness - Good College Spirit EXC,AWD,15/09/2016
Academic EXC Motivated,LJC,15/09/2016
Academic EXC Motivated,LJC,15/09/2016
Academic EXC Motivated,LJC,15/09/2016
Academic EXC Motivated,LJC,15/09/2016
Academic EXC Determined,JR,15/09/2016
Academic EXC Determined,JR,15/09/2016
Academic EXC Determined,JR,15/09/2016
Academic EXC Determined,JR,15/09/2016
Academic EXC Determined,JR,15/09/2016
Random Act of Kindness - Good College Spirit EXC,APRD,15/09/2016
Academic EXC Motivated,APRD,15/09/2016
Co-Curricular EXC Determined,AGSD,15/09/2016
Academic EXC Independent,DJPS,16/09/2016
Academic EXC Independent,DJPS,16/09/2016
Academic EXC Independent,DJPS,16/09/2016
