Category code,Category,Staff code,Date
EXC7CR,Academic EXC Creative,JEA,14/09/2016
EXCCUR,Academic EXC General,JEA,14/09/2016
EXCCUR,Academic EXC General,JEA,14/09/2016
EXC7CD,Co-Curricular EXC Determined,SLK,14/09/2016
EXC7CD,Co-Curricular EXC Determined,SLK,14/09/2016
EXC7CD,Co-Curricular EXC Determined,SLK,14/09/2016
INCWOR,Incomplete Work,SLK,14/09/2016
INCWOR,Incomplete Work,SLK,14/09/2016
INCWOR,Incomplete Work,SLK,14/09/2016
INCWOR,Incomplete Work,SLK,14/09/2016
INF,Infraction,AFJH,14/09/2016
EXC7CU,Academic EXC Curious,AFJH,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,SLK,14/09/2016
EXC7MO,Academic EXC Motivated,JLP,14/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
EXCACT,Co-Curricular EXC General,JKC,14/09/2016
EXCACT,Co-Curricular EXC General,JKC,14/09/2016
EXCACT,Co-Curricular EXC General,JKC,14/09/2016
EXCACT,Co-Curricular EXC General,JKC,14/09/2016
EXC7CU,Academic EXC Curious,PWGM,14/09/2016
EXCCUR,Academic EXC General,PWGM,14/09/2016
EXCCUR,Academic EXC General,CEA,14/09/2016
EXCCUR,Academic EXC General,CEA,14/09/2016
INF,Infraction,CMLK,14/09/2016
INF,Infraction,CMLK,14/09/2016
INF,Infraction,CMLK,14/09/2016
INF,Infraction,CMLK,14/09/2016
INF,Infraction,CMLK,14/09/2016
INCWOR,Incomplete Work,LJA,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,PSJ,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,PSJ,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,PSJ,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,PSJ,14/09/2016
EXC7CM,Co-Curricular EXC Motivated,PSJ,14/09/2016
EXC7MO,Academic EXC Motivated,CMLK,14/09/2016
EXC7MO,Academic EXC Motivated,CMLK,14/09/2016
EXC7MO,Academic EXC Motivated,MJM,14/09/2016
INCWOR,Incomplete Work,GSL,14/09/2016
INCWOR,Incomplete Work,GSL,14/09/2016
INCWOR,Incomplete Work,GSL,14/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,SP,14/09/2016
EXC7DE,Academic EXC Determined,DJB,15/09/2016
EXC7DE,Academic EXC Determined,DJB,15/09/2016
EXC7DE,Academic EXC Determined,AWD,15/09/2016
EXC7DE,Academic EXC Determined,AWD,15/09/2016
EXC7DE,Academic EXC Determined,AWD,15/09/2016
EXC7DE,Academic EXC Determined,AWD,15/09/2016
EXC7DE,Academic EXC Determined,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,APRD,15/09/2016
INF,Infraction,HG,15/09/2016
INF,Infraction,HG,15/09/2016
INF,Infraction,HG,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7CR,Academic EXC Creative,SP,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,AWD,15/09/2016
EXC7MO,Academic EXC Motivated,TWE,15/09/2016
EXC7CU,Academic EXC Curious,DRM,15/09/2016
EXC7CU,Academic EXC Curious,DRM,15/09/2016
